iter	MultiClass
0	2.008191501
1	1.826570299
2	1.666382831
3	1.533063195
4	1.427917875
5	1.342626207
6	1.262136472
7	1.192262272
8	1.135834384
9	1.075353002
10	1.019640947
11	0.9718871924
12	0.9336936525
13	0.8954126064
14	0.8566129422
15	0.8234863032
16	0.7900709536
17	0.7646518184
18	0.7358736054
19	0.7109682874
20	0.6913003801
21	0.6705579512
22	0.6507063741
23	0.6311798317
24	0.6139177174
25	0.5948416734
26	0.5775016917
27	0.5593911913
28	0.5452625846
29	0.5300716892
30	0.5173766865
31	0.5067434104
32	0.4961848439
33	0.4822435292
34	0.4726348451
35	0.4632189421
36	0.4525908555
37	0.4437635348
38	0.4347707448
39	0.4246730679
40	0.4169559087
41	0.4079679181
42	0.3995384251
43	0.3928871623
44	0.3852125432
45	0.3783441184
46	0.3729062743
47	0.3654898924
48	0.3581213859
49	0.3534168845
50	0.349264975
51	0.3433123116
52	0.3392545616
53	0.3343558001
54	0.3306649089
55	0.3260258958
56	0.3210434923
57	0.3174223661
58	0.3143514754
59	0.3112875605
60	0.3084063937
61	0.3041709297
62	0.2991137543
63	0.2942734568
64	0.291687616
65	0.2880086856
66	0.2834233531
67	0.2812442111
68	0.2780464373
69	0.2758633912
70	0.2737927854
71	0.2715242406
72	0.2689200655
73	0.2663513709
74	0.2642487548
75	0.2603688849
76	0.2574299635
77	0.2539339767
78	0.2500323037
79	0.2479680338
80	0.2457986582
81	0.2427603154
82	0.2405135808
83	0.2380417801
84	0.2364783057
85	0.2330170996
86	0.2307345079
87	0.2280858719
88	0.2254749348
89	0.2226035127
90	0.2208652382
91	0.2190136001
92	0.2170237678
93	0.2150860025
94	0.2129547531
95	0.2115424445
96	0.2100873095
97	0.2082567115
98	0.2073955615
99	0.2066848804
100	0.2046671826
101	0.2026669166
102	0.2014787497
103	0.1993979567
104	0.1977956135
105	0.1967678389
106	0.1949295602
107	0.1933370333
108	0.1917683952
109	0.1899041182
110	0.18900643
111	0.1878993621
112	0.186002203
113	0.184917446
114	0.1840526817
115	0.1829457349
116	0.1818098561
117	0.1806334948
118	0.1799487362
119	0.1791009998
120	0.178224267
121	0.1768719618
122	0.1758554939
123	0.1747699395
124	0.1732758464
125	0.1723846911
126	0.1719339487
127	0.1716124609
128	0.1705152475
129	0.1693387187
130	0.1687134815
131	0.1681998406
132	0.1675373272
133	0.1669157009
134	0.1659855558
135	0.1651980229
136	0.165113239
137	0.1645808763
138	0.1642102856
139	0.1632040671
140	0.1617638913
141	0.1615781679
142	0.1608670854
143	0.1600061317
144	0.1596864837
145	0.1593223616
146	0.1586733693
147	0.1582413895
148	0.1579532594
149	0.1578544135
150	0.1569515927
151	0.1566094033
152	0.1562998072
153	0.1562182257
154	0.1561384696
155	0.1558047415
156	0.1553936823
157	0.1553078885
158	0.1549804023
159	0.1548461208
160	0.1540231008
161	0.1532023884
162	0.1524777284
163	0.1520644541
164	0.1517461444
165	0.1510781223
166	0.150229614
167	0.150172907
168	0.1499149459
169	0.149358793
170	0.1492444531
171	0.1489938061
172	0.1487057835
173	0.1481555985
174	0.1476215936
175	0.1471810541
176	0.1467395498
177	0.1465472353
178	0.1461159022
179	0.1459818575
180	0.1457246249
181	0.1448729783
182	0.1448138405
183	0.1445542189
184	0.1443903107
185	0.144215534
186	0.1434586262
187	0.1432548449
188	0.1430792734
189	0.1427697395
190	0.1427399729
191	0.1426388302
192	0.1424082516
193	0.142097306
194	0.1419547661
195	0.1417931229
196	0.1415405924
197	0.1411532943
198	0.140878288
199	0.1407071341
200	0.1399031243
201	0.1397847474
202	0.1396729225
203	0.1392854052
204	0.1389862781
205	0.1388609917
206	0.1386014759
207	0.1383098108
208	0.1377270139
209	0.1375555022
210	0.137533078
211	0.1373776916
212	0.1371599264
213	0.1368733489
214	0.1365506605
215	0.1363309539
216	0.1361543945
217	0.1359244217
218	0.1349096874
219	0.1347175899
220	0.1345866737
221	0.1345415304
222	0.1342417972
223	0.1341966237
224	0.1341023911
225	0.1338496304
226	0.1336337517
227	0.1335392081
228	0.1334271563
229	0.1333266334
230	0.1331376865
231	0.1329066997
232	0.1327941587
233	0.1320672352
234	0.1317116621
235	0.1315885361
236	0.1313580926
237	0.1310413693
238	0.1309174437
239	0.1308280024
240	0.1306117494
241	0.1304586738
242	0.1302746436
243	0.130252843
244	0.1301282385
245	0.1299393892
246	0.1293699537
247	0.1293315221
248	0.1289645078
249	0.1288460962
250	0.1286259172
251	0.1284840657
252	0.1281311855
253	0.1279938264
254	0.1278640243
255	0.127771961
256	0.127272823
257	0.1272333493
258	0.1270689479
259	0.1264970007
260	0.1264217994
261	0.1262723821
262	0.1262514543
263	0.1257510474
264	0.1254890488
265	0.1253475646
266	0.1251213052
267	0.1250723203
268	0.124915186
269	0.1244296763
270	0.1243666369
271	0.1242585822
272	0.1241651418
273	0.1240668618
274	0.1235696477
275	0.1232724931
276	0.1232340653
277	0.1232152548
278	0.1231185443
279	0.1230562466
280	0.1229551635
281	0.1227036825
282	0.1225594557
283	0.1223161411
284	0.1220076849
285	0.121852419
286	0.1215114094
287	0.1213477224
288	0.1212641461
289	0.1210233567
290	0.1208537983
291	0.1206553472
292	0.1205127181
293	0.120324815
294	0.1201974466
295	0.1200618021
296	0.1199366585
297	0.1198556638
298	0.1198278216
299	0.1197930856
300	0.1197643399
301	0.1196709258
302	0.1195344917
303	0.1193559121
304	0.1192186247
305	0.119070236
306	0.1189519897
307	0.1187420319
308	0.1185262152
309	0.1182403688
310	0.1180461892
311	0.1178946267
312	0.1177821162
313	0.1176665588
314	0.1174893224
315	0.1173895431
316	0.1172091749
317	0.1171614679
318	0.1168998479
319	0.1166044458
320	0.1165587468
321	0.1164100619
322	0.1163329802
323	0.1161659652
324	0.116128767
325	0.1160407313
326	0.1159534603
327	0.1158118355
328	0.1156053642
329	0.1155748382
330	0.1153073096
331	0.1151168457
332	0.1149974799
333	0.114919057
334	0.1148833478
335	0.1148632636
336	0.114731129
337	0.1146999205
338	0.1145335831
339	0.1143925264
340	0.1143904717
341	0.1143659008
342	0.1141365669
343	0.1140528178
344	0.1140114922
345	0.1138974033
346	0.1138084664
347	0.1135901921
348	0.1134728441
349	0.1134619462
350	0.1133550029
351	0.1132178586
352	0.1131505999
353	0.1130550997
354	0.1130442538
355	0.1129648309
356	0.1127861542
357	0.1126839645
358	0.1125806888
359	0.1124315488
360	0.1124160742
361	0.112257864
362	0.1121635598
363	0.1121422764
364	0.1121134026
365	0.1120779593
366	0.1118425967
367	0.1118221149
368	0.1115468619
369	0.1114881081
370	0.1114545742
371	0.111211828
372	0.1111341273
373	0.1110364753
374	0.1109855933
375	0.11088823
376	0.1108053242
377	0.1106909041
378	0.110552022
379	0.1103476406
380	0.1103035623
381	0.1100362654
382	0.1100123183
383	0.1098996651
384	0.1098402994
385	0.1097619403
386	0.1097230186
387	0.1096508913
388	0.1096251264
389	0.1095708984
390	0.1095230073
391	0.1094349288
392	0.1093544012
393	0.109156847
394	0.1091363064
395	0.1088679766
396	0.1086100859
397	0.1085797129
398	0.1085009119
399	0.1084198703
400	0.1081977799
401	0.108116176
402	0.1080411192
403	0.1079221312
404	0.107794484
405	0.1077525464
406	0.1077336519
407	0.107635996
408	0.107428294
409	0.1073596777
410	0.1072406262
411	0.1071540853
412	0.1070466956
413	0.107043503
414	0.1069698786
415	0.1069079542
