iter	Passed	Remaining
0	2089	2087277
1	3636	1814577
2	5103	1696101
3	6568	1635508
4	8053	1602742
5	9473	1569361
6	10935	1551345
7	12872	1596158
8	14931	1644159
9	16475	1631113
10	18800	1690291
11	20536	1690871
12	21920	1664304
13	23334	1643408
14	24763	1626149
15	26150	1608240
16	27568	1594120
17	28952	1579515
18	31008	1601042
19	32977	1615885
20	34510	1608843
21	36045	1602388
22	37567	1595807
23	39061	1588498
24	40570	1582246
25	42633	1597120
26	44460	1602227
27	46454	1612639
28	48399	1620564
29	49990	1616350
30	51600	1612928
31	53138	1607451
32	54668	1601943
33	56290	1599309
34	57800	1593635
35	59406	1590760
36	60963	1586705
37	62492	1582045
38	64029	1577756
39	65602	1574450
40	67155	1570786
41	68734	1567803
42	70310	1564820
43	71882	1561809
44	73444	1558662
45	75009	1555638
46	76603	1553255
47	78196	1550905
48	79821	1549192
49	81394	1546492
50	82992	1544302
51	84671	1543619
52	86650	1548262
53	88424	1549072
54	90232	1550364
55	91834	1548069
56	93370	1544705
57	94908	1541443
58	96421	1537835
59	97946	1534499
60	99472	1531218
61	101251	1531837
62	102947	1531138
63	104479	1528012
64	105994	1524684
65	107555	1522078
66	109288	1521876
67	110806	1518703
68	112327	1515611
69	113834	1512366
70	115492	1511167
71	117099	1509277
72	118651	1506716
73	120269	1504995
74	122059	1505396
75	123610	1502844
76	125161	1500309
77	126781	1498625
78	128493	1498008
79	130036	1495416
80	131493	1491887
81	133043	1489435
82	134587	1486947
83	136174	1484951
84	137714	1482457
85	139324	1480724
86	140909	1478740
87	142492	1476745
88	144085	1474853
89	145730	1473495
90	147317	1471553
91	148881	1469397
92	150464	1467435
93	152088	1465873
94	153678	1463987
95	155232	1461771
96	156792	1459622
97	158483	1458696
98	160186	1457855
99	161853	1456678
100	163499	1455307
101	165187	1454302
102	166862	1453160
103	168575	1452346
104	170180	1450587
105	171856	1449429
106	173557	1448475
107	175245	1447394
108	176909	1446113
109	178654	1445473
110	180241	1443557
111	181819	1441566
112	183488	1440306
113	185066	1438320
114	186642	1436337
115	188205	1434259
116	189774	1432233
117	191364	1430369
118	192911	1428197
119	194455	1426006
120	196078	1424403
121	197620	1422221
122	199186	1420214
123	200795	1418525
124	202450	1417155
125	204015	1415153
126	205552	1412974
127	206930	1409713
128	208519	1407913
129	210290	1407329
130	211968	1406113
131	213592	1404529
132	215168	1402641
133	216882	1401645
134	218472	1399840
135	220076	1398132
136	221655	1396267
137	223352	1395145
138	224912	1393163
139	226531	1391552
