iter	RMSE
0	802.9316894
1	780.0546376
2	758.2985681
3	736.6118739
4	720.1240055
5	702.7793879
6	684.191598
7	665.3030902
8	648.8824086
9	632.5585542
10	616.6298855
11	605.0496234
12	590.7328327
13	576.5880054
14	562.3757998
15	549.5091409
16	536.5101049
17	524.5830814
18	514.3283231
19	503.0048349
20	492.0800795
21	484.020224
22	474.0313246
23	465.4150674
24	457.7882306
25	448.9714236
26	440.9243122
27	433.8835925
28	427.5548786
29	419.9356329
30	413.5917816
31	406.6117707
32	400.3737339
33	394.2067016
34	388.3667452
35	382.7320008
36	378.2560764
37	373.6227302
38	368.236814
39	363.5233332
40	359.8803022
41	355.2728342
42	350.3305101
43	345.8211394
44	342.2606424
45	338.5504048
46	335.6742382
47	332.2863557
48	329.9286782
49	326.5678111
50	323.0106389
51	320.3571341
52	317.3858159
53	315.7336018
54	313.0767464
55	310.5631111
56	307.5897546
57	305.1697002
58	302.7571407
59	300.1888179
60	297.9491219
61	296.0511739
62	295.0158764
63	293.6154494
64	291.6431529
65	289.8465727
66	288.1056
67	286.1419496
68	284.2396351
69	283.2801074
70	281.6939787
71	280.3390495
72	278.8642969
73	277.2416366
74	275.7320418
75	274.4793762
76	273.150261
77	271.9535732
78	270.7712396
79	269.8377351
80	268.9625853
81	268.2271172
82	267.3463421
83	266.4918228
84	265.4304107
85	264.7775928
86	264.1009566
87	263.4296817
88	262.4971724
89	262.0546974
90	261.7597685
91	260.8818627
92	260.2875835
93	259.4553196
94	258.6239227
95	258.1781405
96	257.3468894
97	256.6016876
98	255.7209871
99	254.9792545
100	254.3623776
101	253.6554596
102	253.2628093
103	252.6293808
104	252.1562092
105	251.7616035
106	251.3980535
107	251.022383
108	250.5948883
109	250.3380462
110	249.535276
111	248.9171122
112	248.5125083
113	248.2151587
114	247.7717903
115	247.3400935
116	246.8851672
117	246.5500242
118	246.2172138
119	245.5739481
120	244.7960957
121	244.5700211
122	243.9567541
123	243.6697036
124	243.2159654
125	242.906526
126	242.4584843
127	242.0180346
128	241.506457
129	240.9433001
130	240.0111281
131	239.264673
132	238.5770302
133	237.9506661
134	237.6207723
135	237.1041405
136	236.8961129
137	236.6422597
138	236.5631295
139	236.2646318
140	236.0946076
141	235.7416524
142	235.3801356
143	235.1275498
144	234.9026938
145	234.704588
146	234.0930935
147	233.9713036
148	233.7203373
149	233.4197404
150	232.8483709
151	232.5409362
152	232.4147723
153	232.268999
154	232.0265439
155	231.6249156
156	231.4544337
157	231.2727635
158	230.9323881
159	230.4129257
160	230.0883898
161	230.0509117
162	229.5978185
163	229.4297275
164	229.2181379
165	228.9700933
166	228.6577167
167	228.4475965
168	228.1706554
169	227.4193711
170	227.3468699
171	226.8579509
172	226.6317732
173	226.2357584
174	225.7872029
175	225.7575981
176	225.6096029
177	225.2744864
178	225.0721928
179	224.9662234
180	224.8561416
181	224.671073
182	224.2412022
183	224.1602145
184	223.7827257
185	223.4293426
186	223.0025398
187	222.6453803
188	222.4461874
189	222.2462365
190	221.96628
191	221.8986662
192	221.6526813
193	221.5576578
194	221.3816493
195	220.9942407
196	220.7783457
197	220.4884558
198	220.4233496
199	220.1303104
200	219.8225834
201	219.5464656
202	219.4982578
203	219.4599667
204	219.3500564
205	219.1677808
206	218.9257347
207	218.5366061
208	218.4046826
209	218.2514916
210	218.224899
211	218.1914204
212	217.9162327
213	217.714568
214	217.5207246
215	217.0682344
216	216.8551392
217	216.4960387
218	216.1889164
219	215.991078
220	215.8190057
221	215.7988895
222	215.6720831
223	215.4380818
224	215.1959458
225	214.8214071
226	214.6629244
227	214.6016024
228	214.3354113
229	213.990161
230	213.4562416
231	213.2646303
232	213.2430229
233	213.1810233
234	213.0695588
235	212.9504165
236	212.8451719
237	212.5906792
238	212.4673384
239	212.1026493
240	211.9070979
241	211.4674621
242	211.212596
243	210.9911804
244	210.9384347
245	210.92004
246	210.5197688
247	210.4600777
248	210.363777
249	209.8745552
250	209.7258586
251	209.534574
252	209.1331774
253	209.0941157
254	209.0751016
255	208.6641174
256	208.3202533
257	208.2907737
258	207.9391199
259	207.8811304
260	207.7171294
261	207.6404583
262	207.3076417
263	207.1488285
264	206.8010866
265	206.787135
266	206.497305
267	206.273017
268	206.2460781
269	206.2279373
270	206.1285788
271	206.073335
272	205.8470722
273	205.4328126
274	205.3029
275	205.0942697
276	204.8312993
277	204.7027998
278	204.634605
279	204.4450566
280	204.3013462
281	204.0500828
282	203.8078139
283	203.6535161
284	203.642822
285	203.141252
286	203.0473121
287	202.7418565
288	202.3864448
289	202.3748039
290	202.2148805
291	202.0442187
292	201.7744436
293	201.5637497
294	201.4025004
295	201.3807457
296	201.339573
297	201.3301788
298	200.9610852
299	200.5492095
300	200.5286961
301	200.1698362
302	199.7226431
303	199.5930132
304	199.3755321
305	199.3297662
306	199.1829961
307	199.1594765
308	198.9925949
309	198.9571106
310	198.8324506
311	198.5407514
312	198.3617169
313	198.3482735
314	198.0533326
315	197.9748129
316	197.612205
317	197.288089
318	197.1065527
319	196.8955595
320	196.7327041
321	196.2630926
322	196.0143913
323	195.7568914
324	195.5671601
325	195.4224922
326	195.3548024
327	195.2477886
328	195.0767024
329	194.814726
330	194.5944556
331	194.3324208
332	194.3061521
333	194.1354118
334	194.1176005
335	193.9576229
336	193.668055
337	193.5207495
338	193.3762616
339	193.1290412
340	192.8098138
341	192.7706867
342	192.6592839
343	192.3259508
344	192.1110805
345	191.8839372
346	191.8770022
347	191.6590021
348	191.5127669
349	191.2158518
350	191.016373
351	190.897695
352	190.8598124
353	190.8424535
354	190.6225597
355	190.499431
356	190.4163567
357	190.4026069
358	190.3030756
359	190.1949874
360	190.1092529
361	189.8713209
362	189.8658967
363	189.695978
364	189.6501437
365	189.6159256
366	189.430901
367	189.4249346
368	189.1943761
369	189.0801943
370	188.9109004
371	188.7488593
372	188.5386646
373	188.3040217
374	188.0164938
375	187.8658204
376	187.6721889
377	187.5236484
378	187.2692233
379	187.0956156
380	186.8805799
381	186.8236891
382	186.6467888
383	186.6381961
384	186.6232516
385	186.4129484
386	186.3073521
387	186.2916781
388	186.0353794
389	185.8333443
390	185.7584945
391	185.576053
392	185.5637093
393	185.5313474
394	185.3549972
395	185.2253869
396	185.1317116
397	184.8654845
398	184.7307144
399	184.6314533
400	184.5251738
401	184.3120807
402	184.0947281
403	184.060799
404	183.8871022
405	183.7846966
406	183.5786207
407	183.3455972
408	183.1606382
409	183.150229
410	183.1459988
411	183.1391298
412	183.1287788
413	182.9004245
414	182.8752964
415	182.8713033
416	182.7035723
417	182.68994
418	182.5661559
419	182.401202
420	182.2774761
421	182.1735991
422	182.0999941
423	181.8989608
424	181.6011582
425	181.4448307
426	181.3145946
427	181.0928974
428	181.01202
429	180.7342766
430	180.5905435
431	180.4727258
432	180.417773
433	180.2914513
434	180.1579139
435	180.1513172
436	180.0606453
437	179.9782795
438	179.7835039
439	179.5951976
440	179.5007687
441	179.4821642
442	179.3354189
443	179.1694048
444	179.1492304
445	179.0211244
446	178.9127828
447	178.9081774
448	178.6274169
449	178.5255748
450	178.3748883
451	178.1948277
452	178.051661
453	177.911858
454	177.7914623
455	177.7011882
456	177.5076706
457	177.4819638
458	177.2895096
459	177.2848822
460	177.2088253
461	177.0848859
462	176.9367351
463	176.8958548
464	176.7920432
465	176.7315883
466	176.7131233
467	176.6935654
468	176.5791442
469	176.547421
470	176.5103478
471	176.4833054
472	176.3349998
473	176.2707031
474	176.1149787
475	176.0427079
476	175.7803443
477	175.6276242
478	175.4670151
479	175.4050967
480	175.3274592
481	175.2479632
482	175.1273484
483	175.0075812
484	174.9456504
485	174.9423262
486	174.8302408
487	174.6746454
488	174.661399
489	174.6516578
490	174.5488927
491	174.500611
492	174.2831694
493	174.0459858
494	173.9262556
495	173.9037267
496	173.8641796
497	173.8010633
498	173.6649433
499	173.5513022
500	173.3920334
501	173.3856572
502	173.3483241
503	173.0791559
504	172.9767488
505	172.6705355
506	172.4642023
507	172.3826635
508	172.3174229
509	172.2326666
510	172.0327377
511	171.9002693
512	171.7978077
513	171.7569155
514	171.651426
515	171.5152103
516	171.4758413
517	171.3891903
518	171.3850393
519	171.2721307
