iter	Passed	Remaining
0	301	300893
1	325	162524
2	355	118003
3	383	95614
4	394	78466
5	409	67810
6	429	60862
7	454	56343
8	469	51695
9	493	48888
10	524	47161
11	535	44084
12	561	42604
13	587	41342
14	612	40245
15	637	39234
16	662	38326
17	687	37500
18	703	36297
19	733	35926
20	767	35761
21	805	35792
22	846	35976
23	887	36108
24	912	35572
25	949	35577
26	979	35315
27	1014	35206
28	1031	34545
29	1056	34149
30	1075	33631
31	1095	33146
32	1124	32941
33	1151	32725
34	1173	32346
35	1198	32103
36	1220	31757
37	1243	31472
38	1263	31132
39	1290	30960
40	1306	30556
41	1332	30401
42	1359	30253
43	1380	30004
44	1401	29749
45	1427	29604
46	1443	29278
47	1469	29145
48	1485	28838
49	1510	28706
50	1539	28642
51	1552	28307
52	1579	28214
53	1600	28033
54	1621	27855
55	1649	27807
56	1683	27843
57	1706	27713
58	1742	27789
59	1770	27731
60	1807	27823
61	1852	28031
62	1869	27802
63	1899	27773
64	1927	27721
65	1960	27748
66	1992	27751
67	2017	27648
68	2045	27594
69	2058	27354
70	2082	27254
71	2113	27241
72	2144	27229
73	2168	27135
74	2189	27001
75	2210	26874
76	2223	26650
77	2244	26534
78	2266	26420
79	2288	26318
80	2305	26155
81	2322	25999
82	2346	25919
83	2371	25857
84	2393	25760
85	2413	25655
86	2436	25568
87	2458	25479
88	2478	25373
89	2485	25128
90	2495	24928
91	2515	24829
92	2533	24705
93	2549	24576
94	2587	24646
95	2602	24508
96	2622	24415
97	2647	24367
98	2658	24195
99	2679	24111
100	2699	24025
101	2719	23941
102	2742	23883
103	2766	23835
104	2787	23757
105	2807	23675
106	2826	23593
107	2841	23472
108	2857	23358
109	2868	23212
110	2889	23140
111	2909	23068
112	2930	22999
113	2937	22827
114	2958	22769
115	2983	22736
116	3004	22675
117	3024	22605
118	3041	22516
119	3062	22460
120	3082	22395
121	3103	22333
122	3123	22272
123	3135	22148
124	3155	22088
125	3180	22063
126	3198	21984
127	3220	21939
