iter	Passed	Remaining
0	8	8132
1	10	5442
2	12	4237
3	14	3658
4	16	3364
5	19	3155
6	21	3030
7	24	2986
8	27	3012
9	30	2973
10	34	3073
11	37	3074
12	42	3234
13	45	3182
14	46	3083
15	50	3104
16	52	3006
17	54	2951
18	56	2916
19	58	2865
20	60	2810
21	62	2787
22	65	2771
23	67	2751
24	70	2747
25	73	2751
26	76	2743
27	80	2794
28	82	2772
29	85	2778
30	90	2837
31	92	2807
32	95	2787
33	97	2776
34	101	2802
35	105	2826
36	108	2811
37	112	2842
38	114	2822
39	116	2801
40	118	2772
41	121	2775
42	125	2791
43	126	2757
44	131	2781
45	133	2770
46	135	2753
47	138	2750
48	142	2756
49	145	2756
50	148	2757
51	153	2799
52	156	2795
53	160	2814
54	166	2862
55	169	2859
56	172	2851
57	177	2883
58	179	2867
59	181	2845
60	183	2830
61	186	2814
62	188	2810
63	191	2797
64	196	2829
65	199	2823
66	202	2814
67	204	2805
68	207	2793
69	209	2787
70	214	2805
71	219	2823
72	223	2834
73	227	2849
74	230	2847
75	236	2873
76	238	2864
77	241	2852
78	243	2840
79	247	2842
80	250	2844
81	253	2838
82	256	2828
83	260	2841
84	262	2828
85	266	2831
86	268	2822
87	274	2843
88	279	2858
89	283	2863
90	285	2855
91	290	2864
92	293	2865
93	296	2859
94	301	2870
95	303	2860
96	307	2859
97	310	2859
98	314	2864
99	319	2875
100	324	2889
101	330	2905
102	334	2914
103	338	2920
104	342	2916
105	347	2928
106	350	2928
107	354	2931
108	360	2943
109	365	2957
110	368	2954
111	374	2970
112	379	2975
113	384	2987
114	388	2990
115	392	2988
116	397	2998
117	400	2995
118	405	3002
119	408	2998
120	414	3007
121	419	3017
122	425	3031
123	430	3040
124	434	3044
125	440	3055
126	446	3067
127	451	3075
128	457	3088
129	463	3099
130	469	3113
131	477	3138
132	481	3140
133	485	3139
134	491	3151
135	497	3157
136	503	3168
137	508	3175
138	514	3186
139	521	3203
140	527	3212
141	532	3217
142	538	3226
143	545	3244
144	552	3260
145	561	3282
146	566	3285
147	574	3304
148	581	3322
149	589	3341
150	596	3356
151	605	3379
152	613	3393
153	618	3396
154	627	3420
155	635	3439
156	642	3447
157	647	3449
158	651	3447
159	659	3459
160	666	3471
161	670	3470
162	676	3472
163	682	3477
164	686	3474
165	692	3478
166	698	3483
167	705	3494
168	713	3508
169	719	3513
170	725	3518
171	734	3538
172	741	3544
173	747	3547
174	753	3552
175	758	3552
176	764	3553
177	769	3555
178	778	3571
179	783	3568
180	789	3571
181	795	3574
182	801	3576
183	806	3577
184	812	3577
185	816	3571
186	821	3571
187	825	3566
188	831	3566
189	837	3571
190	843	3572
191	848	3572
192	855	3576
193	860	3575
194	866	3576
195	872	3579
196	880	3589
197	886	3592
198	891	3590
199	898	3593
200	904	3595
201	908	3590
202	914	3590
203	920	3592
204	925	3590
205	931	3592
206	937	3591
207	942	3587
208	946	3582
209	952	3585
210	958	3583
211	963	3580
212	969	3583
213	973	3573
214	978	3572
215	986	3580
216	991	3577
217	995	3570
218	1000	3568
219	1005	3565
220	1012	3567
221	1016	3562
222	1022	3562
223	1027	3559
224	1032	3556
225	1037	3552
226	1042	3551
227	1048	3548
228	1054	3548
229	1060	3549
230	1065	3547
231	1070	3545
232	1076	3545
233	1082	3542
234	1087	3540
235	1091	3535
236	1100	3541
237	1106	3541
238	1111	3540
239	1116	3535
240	1122	3534
241	1128	3533
242	1133	3529
243	1137	3524
244	1141	3518
245	1145	3511
246	1150	3506
247	1155	3502
248	1159	3498
249	1165	3496
250	1170	3492
251	1174	3487
252	1180	3484
253	1185	3480
254	1191	3480
255	1196	3476
256	1201	3474
257	1208	3474
258	1212	3467
259	1216	3462
260	1221	3457
261	1224	3450
262	1230	3446
263	1235	3443
264	1240	3439
265	1245	3437
266	1249	3430
267	1253	3424
268	1259	3421
269	1264	3417
270	1268	3412
271	1272	3405
272	1275	3397
273	1279	3390
274	1282	3382
275	1287	3378
276	1292	3373
277	1298	3373
278	1302	3366
279	1307	3361
280	1311	3354
281	1315	3348
282	1319	3343
283	1325	3340
284	1329	3334
285	1334	3331
286	1339	3328
287	1343	3320
288	1348	3317
289	1352	3311
290	1357	3308
291	1362	3304
292	1367	3299
293	1371	3292
294	1374	3285
295	1379	3280
296	1383	3273
297	1386	3266
298	1391	3263
299	1395	3255
300	1400	3253
301	1404	3246
302	1410	3243
303	1415	3239
304	1419	3235
305	1425	3233
306	1430	3229
307	1434	3223
308	1440	3222
309	1445	3218
310	1450	3213
311	1456	3212
312	1462	3209
313	1467	3205
314	1472	3201
315	1478	3199
316	1482	3194
317	1487	3191
318	1491	3184
319	1495	3177
320	1500	3174
321	1504	3167
322	1508	3161
323	1512	3155
324	1517	3151
325	1522	3146
326	1526	3142
327	1531	3137
328	1537	3135
329	1542	3131
330	1547	3128
331	1552	3124
332	1558	3121
333	1562	3114
334	1566	3109
335	1570	3103
336	1575	3099
337	1580	3096
338	1585	3092
339	1591	3090
340	1597	3086
341	1604	3086
342	1609	3082
343	1615	3080
344	1619	3074
345	1624	3069
346	1628	3064
347	1633	3060
348	1638	3056
349	1642	3049
350	1646	3044
351	1652	3041
352	1655	3034
353	1661	3031
354	1666	3027
355	1671	3023
356	1676	3019
357	1680	3013
358	1685	3008
359	1688	3002
360	1692	2996
361	1697	2991
362	1702	2987
363	1707	2984
364	1712	2979
365	1718	2976
366	1724	2974
367	1730	2971
368	1736	2968
369	1739	2962
370	1745	2960
371	1749	2953
372	1755	2950
373	1759	2944
374	1762	2937
375	1766	2930
376	1771	2927
377	1775	2920
378	1779	2915
379	1784	2912
380	1788	2905
381	1792	2900
382	1795	2892
383	1799	2887
384	1803	2881
385	1808	2877
386	1814	2874
387	1818	2868
388	1824	2865
389	1829	2862
390	1833	2855
391	1836	2849
392	1840	2843
393	1845	2839
394	1850	2834
395	1855	2830
396	1860	2825
397	1865	2821
398	1871	2819
399	1877	2815
400	1880	2809
401	1886	2805
402	1890	2800
403	1894	2794
404	1898	2789
405	1904	2786
406	1907	2779
407	1914	2778
408	1919	2773
409	1923	2767
410	1928	2763
411	1933	2759
412	1937	2754
413	1942	2749
414	1947	2745
415	1950	2738
416	1955	2734
417	1959	2727
418	1962	2721
419	1967	2717
420	1972	2713
421	1978	2710
422	1984	2706
423	1989	2702
424	1995	2699
425	1999	2694
426	2004	2690
427	2010	2687
428	2015	2682
429	2019	2676
430	2024	2672
431	2028	2667
432	2032	2661
433	2037	2656
434	2041	2651
435	2046	2646
436	2051	2643
437	2055	2637
438	2059	2631
439	2065	2628
440	2069	2622
441	2074	2618
442	2079	2614
443	2082	2608
444	2086	2602
445	2089	2595
446	2094	2591
447	2098	2585
448	2103	2581
449	2107	2575
450	2110	2569
451	2114	2563
452	2118	2557
453	2121	2551
454	2127	2548
455	2132	2543
456	2136	2538
457	2141	2534
458	2147	2531
459	2154	2528
460	2158	2524
461	2163	2519
462	2170	2517
463	2174	2511
464	2177	2505
465	2182	2500
466	2187	2496
467	2192	2492
468	2196	2486
469	2199	2480
470	2203	2475
471	2207	2469
472	2210	2463
473	2214	2457
474	2220	2454
475	2223	2447
476	2228	2443
477	2232	2437
478	2235	2431
479	2239	2426
480	2245	2422
481	2248	2416
482	2253	2411
483	2257	2407
484	2263	2403
485	2268	2399
486	2274	2395
487	2279	2391
488	2284	2387
489	2289	2382
490	2292	2376
491	2296	2371
492	2302	2367
493	2306	2362
494	2312	2359
495	2317	2354
496	2321	2349
497	2325	2344
498	2330	2339
499	2334	2334
500	2339	2329
501	2342	2323
502	2346	2318
503	2350	2313
504	2355	2309
505	2361	2305
506	2365	2300
507	2370	2296
508	2375	2291
509	2380	2287
510	2385	2282
511	2390	2278
512	2395	2274
513	2402	2271
514	2406	2266
515	2409	2260
516	2414	2256
517	2418	2250
518	2424	2246
519	2427	2241
520	2432	2236
521	2435	2230
522	2439	2225
523	2444	2220
524	2450	2216
525	2453	2211
526	2458	2206
527	2462	2200
528	2466	2196
529	2470	2191
530	2478	2188
531	2481	2182
532	2486	2178
533	2489	2172
534	2493	2166
535	2496	2161
536	2500	2155
537	2506	2152
538	2511	2148
539	2515	2143
540	2520	2138
541	2526	2135
542	2532	2131
543	2536	2126
544	2541	2121
545	2545	2116
546	2550	2111
547	2554	2106
548	2558	2101
549	2563	2097
550	2568	2092
551	2573	2088
552	2576	2082
553	2579	2076
554	2583	2071
555	2587	2065
556	2590	2060
557	2593	2054
558	2598	2049
559	2602	2044
560	2607	2040
561	2610	2034
562	2616	2030
563	2619	2025
564	2623	2019
565	2627	2014
566	2631	2009
567	2636	2005
568	2641	2001
569	2647	1997
570	2652	1992
571	2657	1988
572	2663	1984
573	2667	1979
574	2671	1974
575	2676	1970
576	2680	1965
577	2684	1959
578	2690	1956
579	2695	1952
580	2699	1947
581	2703	1941
582	2707	1936
583	2710	1930
584	2714	1925
585	2719	1921
586	2724	1916
587	2729	1912
588	2732	1906
589	2736	1901
590	2741	1897
591	2747	1893
592	2750	1887
593	2755	1883
594	2760	1878
595	2765	1874
596	2770	1869
597	2775	1865
598	2780	1861
599	2786	1857
600	2793	1854
601	2799	1850
602	2804	1846
603	2808	1841
604	2814	1837
605	2819	1833
606	2824	1828
607	2828	1823
608	2834	1819
609	2838	1814
610	2843	1810
611	2848	1806
612	2852	1800
613	2856	1795
614	2861	1791
615	2866	1786
616	2869	1781
617	2873	1775
618	2876	1770
619	2880	1765
620	2884	1760
621	2889	1756
622	2893	1751
623	2898	1746
624	2901	1740
625	2906	1736
626	2910	1731
627	2915	1727
628	2921	1722
629	2926	1718
630	2930	1713
631	2936	1709
632	2941	1705
633	2946	1700
634	2951	1696
635	2957	1692
636	2961	1687
637	2967	1683
638	2972	1679
639	2977	1674
640	2982	1670
641	2988	1666
642	2992	1661
643	2996	1656
644	2999	1650
645	3004	1646
646	3008	1641
647	3013	1637
648	3017	1631
649	3022	1627
650	3026	1622
651	3029	1617
652	3034	1612
653	3038	1607
654	3043	1603
655	3047	1598
656	3053	1594
657	3056	1588
658	3061	1584
659	3067	1580
660	3072	1575
661	3076	1570
662	3079	1565
663	3083	1560
664	3088	1555
665	3092	1550
666	3095	1545
667	3099	1540
668	3102	1535
669	3109	1531
670	3113	1526
671	3118	1522
672	3123	1517
673	3128	1513
674	3132	1508
675	3135	1502
676	3140	1498
677	3143	1493
678	3147	1487
679	3150	1482
680	3154	1477
681	3158	1472
682	3164	1468
683	3168	1463
684	3172	1458
685	3177	1454
686	3182	1450
687	3188	1445
688	3193	1441
689	3198	1436
690	3203	1432
691	3208	1428
692	3214	1423
693	3218	1418
694	3222	1414
695	3228	1409
696	3233	1405
697	3237	1400
698	3243	1396
699	3248	1392
700	3253	1387
701	3257	1382
702	3263	1378
703	3268	1374
704	3273	1369
705	3277	1364
706	3282	1360
707	3286	1355
708	3290	1350
709	3294	1345
710	3301	1341
711	3305	1337
712	3310	1332
713	3315	1327
714	3319	1323
715	3324	1318
716	3329	1314
717	3333	1309
718	3338	1304
719	3342	1299
720	3347	1295
721	3353	1291
722	3359	1287
723	3368	1284
724	3374	1280
725	3381	1276
726	3388	1272
727	3394	1268
728	3400	1263
729	3403	1258
730	3407	1253
731	3412	1249
732	3417	1244
733	3421	1240
734	3428	1235
735	3433	1231
736	3440	1227
737	3445	1223
738	3451	1218
739	3456	1214
740	3464	1210
741	3470	1206
742	3473	1201
